Kalem,2024Q2
nakit ve nakit benzerleri,499360085
finansal yatırımlar,140339463
duran finansal yatırımlar,351060
kısa vadeli borçlanmalar,640172
uzun vadeli borçlanmaların kısa vadeli kısımları,0
kısa dönem kira yükümlülükleri,15357393
uzun vadeli borçlanmalar,0
uzun dönem kira yükümlülükleri,32904457
ana ortaklığa ait özkaynaklar,5123320513
toplam kaynaklar,5431870437
hasılat,1219261624
esas faaliyet karı,226299599
ana ortaklık payları,48266388
