Kalem,2024Q2
nakit ve nakit benzerleri,1359858352
finansal yatırımlar,317622699
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,518588947
uzun vadeli borçlanmaların kısa vadeli kısımları,160694770
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,422815194
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,3584935019
toplam kaynaklar,6741511146
hasılat,3539627863
esas faaliyet karı,214332088
ana ortaklık payları,210527953
