Kalem,2024Q3
nakit ve nakit benzerleri,1408812
finansal yatırımlar,354081
duran finansal yatırımlar,4579842
kısa vadeli borçlanmalar,3594494
uzun vadeli borçlanmaların kısa vadeli kısımları,2289260
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,5991397
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,51160445
toplam kaynaklar,83045848
hasılat,120624462
esas faaliyet karı,12713181
ana ortaklık payları,5967761
