Kalem,2024Q3
nakit ve nakit benzerleri,328524
finansal yatırımlar,1219438
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,6955
uzun vadeli borçlanmaların kısa vadeli kısımları,168002
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,490411
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,7042877
toplam kaynaklar,11582187
hasılat,6008731
esas faaliyet karı,1056258
ana ortaklık payları,140227
