Kalem,2024Q3
nakit ve nakit benzerleri,30136854
finansal yatırımlar,0
duran finansal yatırımlar,413820
kısa vadeli borçlanmalar,23927413
uzun vadeli borçlanmaların kısa vadeli kısımları,30932412
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,74473042
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,101378034
toplam kaynaklar,314934355
hasılat,404666337
esas faaliyet karı,22942584
ana ortaklık payları,25665591
