Kalem,2024Q4
nakit ve nakit benzerleri,9335193
finansal yatırımlar,1095085883
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,0
uzun vadeli borçlanmaların kısa vadeli kısımları,392901983
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,99632777
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,6096421409
toplam kaynaklar,8584872624
hasılat,10123193596
esas faaliyet karı,853192238
ana ortaklık payları,161070590
