Kalem,2024Q4
nakit ve nakit benzerleri,10189727
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,108645013
uzun vadeli borçlanmaların kısa vadeli kısımları,207573092
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,129135742
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,429579133
toplam kaynaklar,1269092297
hasılat,1161925531
esas faaliyet karı,49218850
ana ortaklık payları,(16600783)
