Kalem,2024Q4
nakit ve nakit benzerleri,68934333
finansal yatırımlar,6881016
duran finansal yatırımlar,17813903
kısa vadeli borçlanmalar,18581297
uzun vadeli borçlanmaların kısa vadeli kısımları,33323798
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,52435164
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,186966530
toplam kaynaklar,344275619
hasılat,158854007
esas faaliyet karı,35423511
ana ortaklık payları,23523425
