Kalem,2024Q4
nakit ve nakit benzerleri,95117962
finansal yatırımlar,493576
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,969966921
uzun vadeli borçlanmaların kısa vadeli kısımları,170316582
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,186063294
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,2850999926
toplam kaynaklar,5631353307
hasılat,15872565503
esas faaliyet karı,1639842764
ana ortaklık payları,356583041
