Kalem,2024Q4
nakit ve nakit benzerleri,142109037
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,63291429
uzun vadeli borçlanmaların kısa vadeli kısımları,25610632
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,4570011
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,2533379360
toplam kaynaklar,3862603297
hasılat,3428987044
esas faaliyet karı,1878594189
ana ortaklık payları,691194087
