Kalem,2025Q2
nakit ve nakit benzerleri,60075144
finansal yatırımlar,0
duran finansal yatırımlar,256441
kısa vadeli borçlanmalar,84931362
uzun vadeli borçlanmaların kısa vadeli kısımları,45093149
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,75109665
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,68982356
toplam kaynaklar,502811997
hasılat,237035579
esas faaliyet karı,5296414
ana ortaklık payları,(4074613)
