Kalem,2025Q2
nakit ve nakit benzerleri,8241454
finansal yatırımlar,34552
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,16089444
uzun vadeli borçlanmaların kısa vadeli kısımları,250021
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,5019465
uzun dönem kira yükümlülükleri,19465
ana ortaklığa ait özkaynaklar,119672092
toplam kaynaklar,240065930
hasılat,47890261
esas faaliyet karı,14767408
ana ortaklık payları,9434205
