Kalem,2025Q3
nakit ve nakit benzerleri,11921989088
finansal yatırımlar,1235085527
duran finansal yatırımlar,146852404
kısa vadeli borçlanmalar,6847495313
uzun vadeli borçlanmaların kısa vadeli kısımları,2547480734
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,55829592975
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,11419668467
toplam kaynaklar,91874970743
hasılat,18996231487
esas faaliyet karı,5025331300
ana ortaklık payları,2085294063
