Kalem,2025Q3
nakit ve nakit benzerleri,56950783
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,0
uzun vadeli borçlanmaların kısa vadeli kısımları,0
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,1119950
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,273995043
toplam kaynaklar,18308603704
hasılat,161752120
esas faaliyet karı,83242272
ana ortaklık payları,56379903
