Kalem,2026Q1
nakit ve nakit benzerleri,4980275
finansal yatırımlar,24977581
duran finansal yatırımlar,4902738
kısa vadeli borçlanmalar,14142152
uzun vadeli borçlanmaların kısa vadeli kısımları,0
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,43933015
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,188976717
toplam kaynaklar,398302331
hasılat,212862328
esas faaliyet karı,2539812
ana ortaklık payları,6460986
