Kalem,2026Q1
nakit ve nakit benzerleri,579070461
finansal yatırımlar,8010699
duran finansal yatırımlar,1440626532
kısa vadeli borçlanmalar,5124932611
uzun vadeli borçlanmaların kısa vadeli kısımları,3109751272
kısa dönem kira yükümlülükleri,71519296
uzun vadeli borçlanmalar,5285559440
uzun dönem kira yükümlülükleri,43834735
ana ortaklığa ait özkaynaklar,6516972751
toplam kaynaklar,40804475382
hasılat,2747445462
esas faaliyet karı,70331093
ana ortaklık payları,23998260
