Kalem,2025Q1
nakit ve nakit benzerleri,215468383
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,1431710
uzun vadeli borçlanmaların kısa vadeli kısımları,2769766063
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,1603658675
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,60676431382
toplam kaynaklar,69036528961
hasılat,525077632
esas faaliyet karı,333975144
ana ortaklık payları,133655909
