Kalem,2025Q1
nakit ve nakit benzerleri,6806590401
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,0
uzun vadeli borçlanmaların kısa vadeli kısımları,0
kısa dönem kira yükümlülükleri,2783399959
uzun vadeli borçlanmalar,0
uzun dönem kira yükümlülükleri,7374961508
ana ortaklığa ait özkaynaklar,31299170348
toplam kaynaklar,84630694527
hasılat,54262899635
esas faaliyet karı,(2803994742)
ana ortaklık payları,(357209881)
