Kalem,2025Q1
nakit ve nakit benzerleri,21851788
finansal yatırımlar,254265
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,20168278
uzun vadeli borçlanmaların kısa vadeli kısımları,6643180
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,29828396
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,58218170
toplam kaynaklar,169784021
hasılat,36157897
esas faaliyet karı,2873062
ana ortaklık payları,1275290
