Kalem,2025Q1
nakit ve nakit benzerleri,23936928
finansal yatırımlar,5768
duran finansal yatırımlar,5277871
kısa vadeli borçlanmalar,7796383
uzun vadeli borçlanmaların kısa vadeli kısımları,12103215
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,35521562
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,36650682
toplam kaynaklar,112279639
hasılat,26962317
esas faaliyet karı,5374605
ana ortaklık payları,2413368
