Kalem,2025Q1
nakit ve nakit benzerleri,31241160946
finansal yatırımlar,19530115393
duran finansal yatırımlar,7616438361
kısa vadeli borçlanmalar,3318914940
uzun vadeli borçlanmaların kısa vadeli kısımları,8706107064
kısa dönem kira yükümlülükleri,16459063302
uzun vadeli borçlanmalar,18568424084
uzun dönem kira yükümlülükleri,129281573143
ana ortaklığa ait özkaynaklar,80409897910
toplam kaynaklar,309866627443
hasılat,23587573014
esas faaliyet karı,(3905836375)
ana ortaklık payları,(2634620682)
