Kalem,2025Q1
nakit ve nakit benzerleri,4939213
finansal yatırımlar,0
duran finansal yatırımlar,2413606
kısa vadeli borçlanmalar,2994955
uzun vadeli borçlanmaların kısa vadeli kısımları,1545029
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,17643312
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,24959477
toplam kaynaklar,69900081
hasılat,8904782
esas faaliyet karı,676060
ana ortaklık payları,271369
