Kalem,2025Q1
nakit ve nakit benzerleri,1266874832
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,169937067
uzun vadeli borçlanmaların kısa vadeli kısımları,18718580
kısa dönem kira yükümlülükleri,203653131
uzun vadeli borçlanmalar,998162
uzun dönem kira yükümlülükleri,1193608309
ana ortaklığa ait özkaynaklar,3278397554
toplam kaynaklar,7163443291
hasılat,2941432080
esas faaliyet karı,131526482
ana ortaklık payları,120368995
