Kalem,2024Q1
nakit ve nakit benzerleri,2447330
finansal yatırımlar,3114
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,2203127
uzun vadeli borçlanmaların kısa vadeli kısımları,0
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,178216
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,11149009
toplam kaynaklar,18245915
hasılat,3391662
esas faaliyet karı,(481197)
ana ortaklık payları,(661490)
