Kalem,2025Q4
nakit ve nakit benzerleri,10064170083
finansal yatırımlar,0
duran finansal yatırımlar,89492040
kısa vadeli borçlanmalar,9500637287
uzun vadeli borçlanmaların kısa vadeli kısımları,79261912
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,78494131
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,29796931094
toplam kaynaklar,64461257675
hasılat,52496159197
esas faaliyet karı,9569918057
ana ortaklık payları,5275520771
