Kalem,2025Q4
nakit ve nakit benzerleri,11348906
finansal yatırımlar,0
duran finansal yatırımlar,0
kısa vadeli borçlanmalar,757846626
uzun vadeli borçlanmaların kısa vadeli kısımları,63888366
kısa dönem kira yükümlülükleri,0
uzun vadeli borçlanmalar,36677834
uzun dönem kira yükümlülükleri,0
ana ortaklığa ait özkaynaklar,2708808976
toplam kaynaklar,3883451265
hasılat,2039743599
esas faaliyet karı,315633032
ana ortaklık payları,(97105958)
